created_at,driver_id,rating,driver_status,updated_at,driver_user_id,vehicle_id,rating_category,driver_experience_days,is_active,days_since_update,ride_id,rideer_user_id,pickup_location,dropoff_location,pickup_lat,pickup_long,dropoff_lat,dropoff_long,distance_km,ride_start_time,ride_end_time,Fare,rider_Status,ride_duration_min,uber_fare,driver_fare,fare_per_km,ride_shift,user_id,name,email,phone_number,password_hash,profile_picture,user_type,user_created_at,user_updated_at,Fitness_Certificate_Expiry,Fuel_Type,GPS_Enabled,Insurance_Expiry_Date,Registration_Date,capacity,color,model,vehicle_num,vehicle_type,vehicle_age_years,insurance_status,insurance_days_remaining,fitness_status,vehicle_age_group,pickup_location_id,pickup_location_name,pickup_master_latitude,pickup_master_longitude,pickup_description,dropoff_location_id,dropoff_location_name,dropoff_master_latitude,dropoff_master_longitude,dropoff_description
2020-02-01,DL-03************12,4.2,active,2021-04-17,U5156,V1000,Good,2335,1,1894,,,,,,,,,,,,,,,,,,,U5156,User5156,U******@gmail.com,+91 73******46,N=: ************** 0CO,https://example.com/user5156.jpg,driver,2020-02-01,2021-04-17,2023-08-10,Diesel,true,2021-08-10,2016-08-10,6,White,Tata,KA 53 JM 5**5,Sedan,9.87,Expired,0,Expired,Old,,,,,,,,,,
2023-01-01,DL-03************12,2.8,active,2024-11-04,U15734,V3140,Average,1270,1,597,,,,,,,,,,,,,,,,,,,U15734,User15734,U******@gmail.com,+91 81******32,"Gb, ************** X1x",https://example.com/user15734.jpg,driver,2023-01-01,2024-11-04,2025-12-28,Petrol,false,2023-12-28,2018-12-28,4,Red,Hyundai,KA 53 OD 8**7,Hatchbacks,7.49,Expired,0,Expired,Old,,,,,,,,,,
2021-07-03,DL-03************16,1.5,active,2023-12-08,U10448,V2093,Poor,1817,1,929,,,,,,,,,,,,,,,,,,,U10448,User10448,U******@gmail.com,+91 74******85,"SG[ ************** ,~%",https://example.com/user10448.jpg,driver,2021-07-03,2023-12-08,2027-01-02,Diesel,true,2025-01-02,2020-01-02,7,White,Toyota,KA 53 KS 3**1,SUV,6.48,Expired,0,Valid,Mid-Age,,,,,,,,,,
2023-04-19,DL-03************35,5.3,active,2024-03-12,U11692,V2336,Excellent,1162,1,834,,,,,,,,,,,,,,,,,,,U11692,User11692,U******@gmail.com,+91 78******30,aeL ************** %<A,https://example.com/user11692.jpg,driver,2023-04-19,2024-03-12,2026-08-13,Diesel,true,2024-08-13,2019-08-13,7,White,Suzuki,KA 01 IV 9**4,Hatchbacks,6.86,Expired,0,Valid,Mid-Age,,,,,,,,,,
2023-01-16,DL-03************41,1.9,active,2024-08-05,U2996,V0563,Poor,1255,1,688,,,,,,,,,,,,,,,,,,,U2996,User2996,U******@gmail.com,+91 92******04,eH? ************** EQm,https://example.com/user2996.jpg,driver,2023-01-16,2024-08-05,2027-03-08,Diesel,true,2025-03-08,2020-03-08,5,Black,Suzuki,KA 02 CW 8**7,Hatchbacks,6.29,Expired,0,Valid,Mid-Age,,,,,,,,,,
2023-04-26,DL-03************41,4.1,active,2023-05-20,U11586,V2310,Good,1155,1,1131,,,,,,,,,,,,,,,,,,,U11586,User11586,U******@gmail.com,+91 74******52,W$f ************** P0d,https://example.com/user11586.jpg,driver,2023-04-26,2023-05-20,2027-08-17,Diesel,true,2025-08-17,2020-08-17,7,White,Honda,KA 04 VZ 6**6,Hatchbacks,5.85,Expired,0,Valid,Mid-Age,,,,,,,,,,
2024-08-30,DL-03************48,1.1,active,2024-10-31,U14707,V2937,Poor,663,1,601,,,,,,,,,,,,,,,,,,,U14707,User14707,U******@gmail.com,+91 85******37,)w= ************** M|\,https://example.com/user14707.jpg,driver,2024-08-30,2024-10-31,2027-05-23,Diesel,true,2025-05-23,2020-05-23,6,Blue,Tata,KA 51 AX 7**4,SUV,6.09,Expired,0,Valid,Mid-Age,,,,,,,,,,
2022-08-19,DL-03************49,4.9,active,2023-12-20,U10679,V2137,Excellent,1405,1,917,,,,,,,,,,,,,,,,,,,U10679,User10679,U******@gmail.com,+91 82******46,Om$ ************** Fny,https://example.com/user10679.jpg,driver,2022-08-19,2023-12-20,2022-08-29,Petrol,true,2020-08-29,2015-08-29,6,Blue,Honda,KA 41 VU 3**8,Hatchbacks,10.82,Expired,0,Expired,Old,,,,,,,,,,
2023-04-22,DL-03************49,4.8,active,2023-06-18,U11653,V2330,Excellent,1159,1,1102,,,,,,,,,,,,,,,,,,,U11653,User11653,U******@gmail.com,+91 96******10,0J7 ************** cn8,https://example.com/user11653.jpg,driver,2023-04-22,2023-06-18,2025-10-01,Electric,false,2023-10-01,2018-10-01,4,Blue,Suzuki,KA 02 JL 7**1,Sedan,7.73,Expired,0,Expired,Old,,,,,,,,,,
2022-02-01,DL-03************55,2.7,active,2024-11-05,U15375,V3074,Average,1604,1,596,,,,,,,,,,,,,,,,,,,U15375,User15375,U******@gmail.com,+91 86******62,J|O ************** h-U,https://example.com/user15375.jpg,driver,2022-02-01,2024-11-05,2025-01-15,Diesel,true,2023-01-15,2018-01-15,4,Red,Toyota,KA 52 NB 4**8,Hatchbacks,8.44,Expired,0,Expired,Old,,,,,,,,,,
2023-12-14,DL-03************63,5.6,active,2024-11-11,U1548,V0290,Excellent,923,1,590,,,,,,,,,,,,,,,,,,,U1548,User1548,U******@gmail.com,+91 98******05,PHg ************** %)2,https://example.com/user1548.jpg,driver,2023-12-14,2024-11-11,2022-06-28,Diesel,true,2020-06-28,2015-06-28,7,Red,Honda,KA 53 QG 5**4,SUV,10.99,Expired,0,Expired,Old,,,,,,,,,,
2021-04-26,DL-03************64,1.7,active,2022-08-15,U5357,V1042,Poor,1885,1,1409,,,,,,,,,,,,,,,,,,,U5357,User5357,U******@gmail.com,+91 89******77,T)+ ************** Tr$,https://example.com/user5357.jpg,driver,2021-04-26,2022-08-15,2022-05-31,Diesel,true,2020-05-31,2015-05-31,5,Red,Suzuki,KA 51 VV 6**2,Sedan,11.06,Expired,0,Expired,Old,,,,,,,,,,
2023-09-29,DL-03************64,2.8,active,2024-10-03,U13051,V2600,Average,999,1,629,,,,,,,,,,,,,,,,,,,U13051,User13051,U******@gmail.com,+91 96******23,U0m ************** tSs,https://example.com/user13051.jpg,driver,2023-09-29,2024-10-03,2027-08-06,Petrol,true,2025-08-06,2020-08-06,7,Blue,Suzuki,KA 41 AK 4**5,Sedan,5.88,Expired,0,Valid,Mid-Age,,,,,,,,,,
2022-04-26,DL-03************72,1.1,active,2024-05-31,U10955,V2189,Poor,1520,1,754,,,,,,,,,,,,,,,,,,,U10955,User10955,U******@gmail.com,+91 83******48,7"' ************** 42C,https://example.com/user10955.jpg,driver,2022-04-26,2024-05-31,2023-10-30,Petrol,true,2021-10-30,2016-10-30,4,Blue,Tata,KA 03 RM 7**9,SUV,9.65,Expired,0,Expired,Old,,,,,,,,,,
2021-08-04,DL-03************72,4.7,active,2022-12-21,U10997,V2196,Excellent,1785,1,1281,,,,,,,,,,,,,,,,,,,U10997,User10997,U******@gmail.com,+91 73******34,aC6 ************** sN8,https://example.com/user10997.jpg,driver,2021-08-04,2022-12-21,2028-03-05,Petrol,true,2026-03-05,2021-03-05,4,Red,Suzuki,KA 53 WG 3**5,SUV,5.3,Expired,0,Valid,Mid-Age,,,,,,,,,,
2022-07-16,DL-03************77,1.9,active,2023-10-10,U9698,V1937,Poor,1439,1,988,,,,,,,,,,,,,,,,,,,U9698,User9698,U******@gmail.com,+91 79******09,AIk ************** '/A,https://example.com/user9698.jpg,driver,2022-07-16,2023-10-10,2026-09-20,Diesel,true,2024-09-20,2019-09-20,4,Blue,Tata,KA 53 KL 7**2,Sedan,6.76,Expired,0,Valid,Mid-Age,,,,,,,,,,
2023-12-14,DL-03************88,5.1,active,2024-07-05,U6870,V1365,Excellent,923,1,719,,,,,,,,,,,,,,,,,,,U6870,User6870,U******@gmail.com,+91 98******41,$!@ ************** rgY,https://example.com/user6870.jpg,driver,2023-12-14,2024-07-05,2027-08-01,Diesel,true,2025-08-01,2020-08-01,4,Red,Honda,KA 04 GA 5**2,SUV,5.9,Expired,0,Valid,Mid-Age,,,,,,,,,,
2023-07-19,DL-04************18,2.8,active,2024-01-01,U13812,V2755,Average,1071,1,905,,,,,,,,,,,,,,,,,,,U13812,User13812,U******@gmail.com,+91 80******88,wCc ************** W(3,https://example.com/user13812.jpg,driver,2023-07-19,2024-01-01,2023-07-30,Diesel,true,2021-07-30,2016-07-30,7,Red,Tata,KA 03 RL 9**2,Sedan,9.9,Expired,0,Expired,Old,,,,,,,,,,
2022-04-12,DL-04************22,4.9,active,2023-01-05,U8071,V1599,Excellent,1534,1,1266,,,,,,,,,,,,,,,,,,,U8071,User8071,U******@gmail.com,+91 82******03,fu9 ************** 7;+,https://example.com/user8071.jpg,driver,2022-04-12,2023-01-05,2024-06-29,Diesel,true,2022-06-29,2017-06-29,6,Black,Tata,KA 51 DV 1**7,SUV,8.99,Expired,0,Expired,Old,,,,,,,,,,
2020-12-12,DL-04************39,5.1,active,2022-08-05,U0415,V0082,Excellent,2020,1,1419,,,,,,,,,,,,,,,,,,,U0415,User415,U******@gmail.com,+91 76******36,%JO ************** C/S,https://example.com/user415.jpg,driver,2020-12-12,2022-08-05,2025-09-25,Diesel,true,2023-09-25,2018-09-25,4,White,Hyundai,KA 03 YO 8**4,Hatchbacks,7.75,Expired,0,Expired,Old,,,,,,,,,,
2020-07-19,DL-04************45,3.4,active,2022-06-10,U1646,V0313,Average,2166,1,1475,,,,,,,,,,,,,,,,,,,U1646,User1646,U******@gmail.com,+91 99******47,2[{ ************** Ot.,https://example.com/user1646.jpg,driver,2020-07-19,2022-06-10,2023-06-29,Diesel,false,2021-06-29,2016-06-29,6,Blue,Suzuki,KA 51 DY 4**8,Sedan,9.99,Expired,0,Expired,Old,,,,,,,,,,
2022-07-08,DL-04************45,1.2,active,2024-01-04,U4010,V0769,Poor,1447,1,902,,,,,,,,,,,,,,,,,,,U4010,User4010,U******@gmail.com,+91 76******27,']W ************** ${2,https://example.com/user4010.jpg,driver,2022-07-08,2024-01-04,2024-12-24,Diesel,true,2022-12-24,2017-12-24,5,White,Honda,KA 01 TF 2**4,SUV,8.5,Expired,0,Expired,Old,,,,,,,,,,
2022-12-16,DL-04************90,5.5,inactive,2024-08-13,U2861,V0534,Excellent,1286,0,680,,,,,,,,,,,,,,,,,,,U2861,User2861,U******@gmail.com,+91 94******41,O6| ************** C"6,https://example.com/user2861.jpg,driver,2022-12-16,2024-08-13,2025-10-13,Petrol,false,2023-10-13,2018-10-13,4,Black,Hyundai,KA 53 UG 6**3,SUV,7.7,Expired,0,Expired,Old,,,,,,,,,,
2021-03-29,DL-05************31,5.9,inactive,2023-04-11,U5844,V1149,Excellent,1913,0,1170,,,,,,,,,,,,,,,,,,,U5844,User5844,U******@gmail.com,+91 78******34,F;1 ************** d[N,https://example.com/user5844.jpg,driver,2021-03-29,2023-04-11,2022-07-05,Diesel,false,2020-07-05,2015-07-05,7,Red,Hyundai,KA 04 AI 3**8,Sedan,10.97,Expired,0,Expired,Old,,,,,,,,,,
2024-09-02,DL-05************31,1.2,active,2024-09-14,U15327,V3065,Poor,660,1,648,,,,,,,,,,,,,,,,,,,U15327,User15327,U******@gmail.com,+91 78******98,m1` ************** %/$,https://example.com/user15327.jpg,driver,2024-09-02,2024-09-14,2022-03-12,Petrol,true,2020-03-12,2015-03-12,6,White,Hyundai,KA 52 ZE 4**9,SUV,11.28,Expired,0,Expired,Old,,,,,,,,,,
2020-05-06,DL-05************54,4.5,active,2021-08-10,U8240,V1637,Excellent,2240,1,1779,,,,,,,,,,,,,,,,,,,U8240,User8240,U******@gmail.com,+91 99******62,Xb' ************** h#e,https://example.com/user8240.jpg,driver,2020-05-06,2021-08-10,2024-03-25,Petrol,true,2022-03-25,2017-03-25,5,Blue,Tata,KA 01 QQ 2**3,Sedan,9.25,Expired,0,Expired,Old,,,,,,,,,,
2020-05-23,DL-05************57,4.0,active,2020-12-14,U10797,V2161,Good,2223,1,2018,,,,,,,,,,,,,,,,,,,U10797,User10797,U******@gmail.com,+91 97******71,spg ************** =u-,https://example.com/user10797.jpg,driver,2020-05-23,2020-12-14,2023-09-23,Diesel,true,2021-09-23,2016-09-23,4,White,Toyota,KA 02 WD 5**2,Sedan,9.75,Expired,0,Expired,Old,,,,,,,,,,
2024-08-26,DL-05************58,1.2,inactive,2024-10-30,U14687,V2931,Poor,667,0,602,,,,,,,,,,,,,,,,,,,U14687,User14687,U******@gmail.com,+91 80******59,+a$ ************** $[_,https://example.com/user14687.jpg,driver,2024-08-26,2024-10-30,2022-02-22,Diesel,true,2020-02-22,2015-02-22,6,Black,Suzuki,KA 52 EZ 7**9,Sedan,11.34,Expired,0,Expired,Old,,,,,,,,,,
2022-01-11,DL-05************59,1.5,active,2024-04-25,U15162,V3027,Poor,1625,1,790,,,,,,,,,,,,,,,,,,,U15162,User15162,U******@gmail.com,+91 98******82,Qvk ************** mD\,https://example.com/user15162.jpg,driver,2022-01-11,2024-04-25,2023-07-20,Diesel,true,2021-07-20,2016-07-20,4,Black,Suzuki,KA 52 JI 4**8,SUV,9.93,Expired,0,Expired,Old,,,,,,,,,,
2020-05-25,DL-06************11,5.4,active,2022-02-13,U15323,V3064,Excellent,2221,1,1592,,,,,,,,,,,,,,,,,,,U15323,User15323,U******@gmail.com,+91 79******61,Or. ************** P;d,https://example.com/user15323.jpg,driver,2020-05-25,2022-02-13,2025-09-28,Diesel,true,2023-09-28,2018-09-28,7,Black,Suzuki,KA 04 RI 8**5,SUV,7.74,Expired,0,Expired,Old,,,,,,,,,,
2021-05-01,DL-06************30,4.4,active,2022-10-17,U4558,V0880,Good,1880,1,1346,,,,,,,,,,,,,,,,,,,U4558,User4558,U******@gmail.com,+91 78******31,Ekl ************** g{.,https://example.com/user4558.jpg,driver,2021-05-01,2022-10-17,2027-10-27,Diesel,true,2025-10-27,2020-10-27,4,Black,Toyota,KA 03 EY 1**7,SUV,5.66,Expired,0,Valid,Mid-Age,,,,,,,,,,
2024-02-03,DL-06************31,3.7,active,2024-09-17,U9596,V1911,Good,872,1,645,,,,,,,,,,,,,,,,,,,U9596,User9596,U******@gmail.com,+91 81******53,PCf ************** {:G,https://example.com/user9596.jpg,driver,2024-02-03,2024-09-17,2027-09-12,Diesel,true,2025-09-12,2020-09-12,6,Black,Honda,KA 04 HA 6**1,Sedan,5.78,Expired,0,Valid,Mid-Age,,,,,,,,,,
2023-03-24,DL-06************36,4.5,active,2023-11-07,U1865,V0358,Excellent,1188,1,960,,,,,,,,,,,,,,,,,,,U1865,User1865,U******@gmail.com,+91 81******92,"\",U ************** (0M",https://example.com/user1865.jpg,driver,2023-03-24,2023-11-07,2022-09-16,Petrol,false,2020-09-16,2015-09-16,4,White,Tata,KA 03 TA 9**7,Sedan,10.77,Expired,0,Expired,Old,,,,,,,,,,
2023-10-02,DL-06************37,1.9,active,2024-09-22,U1266,V0233,Poor,996,1,640,,,,,,,,,,,,,,,,,,,U1266,User1266,U******@gmail.com,+91 85******08,L~g ************** 2Dc,https://example.com/user1266.jpg,driver,2023-10-02,2024-09-22,2026-06-03,Diesel,true,2024-06-03,2019-06-03,6,Blue,Hyundai,KA 53 UD 2**6,SUV,7.06,Expired,0,Expired,Old,,,,,,,,,,
2020-04-13,DL-06************41,5.0,active,2022-11-02,U9199,V1840,Excellent,2263,1,1330,,,,,,,,,,,,,,,,,,,U9199,User9199,U******@gmail.com,+91 93******41,Z// ************** pTf,https://example.com/user9199.jpg,driver,2020-04-13,2022-11-02,2026-03-25,Electric,true,2024-03-25,2019-03-25,4,Black,Tata,KA 51 NC 6**2,SUV,7.25,Expired,0,Expired,Old,,,,,,,,,,
2024-09-30,DL-06************43,3.0,active,2024-11-23,U12309,V2446,Average,632,1,578,,,,,,,,,,,,,,,,,,,U12309,User12309,U******@gmail.com,+91 89******83,O!0 ************** zxS,https://example.com/user12309.jpg,driver,2024-09-30,2024-11-23,2022-09-03,Diesel,false,2020-09-03,2015-09-03,4,Black,Suzuki,KA 51 PA 1**8,Hatchbacks,10.81,Expired,0,Expired,Old,,,,,,,,,,
2021-07-21,DL-06************49,5.1,active,2021-12-01,U13590,V2716,Excellent,1799,1,1666,,,,,,,,,,,,,,,,,,,U13590,User13590,U******@gmail.com,+91 95******39,g2k ************** IH),https://example.com/user13590.jpg,driver,2021-07-21,2021-12-01,2024-09-20,Diesel,false,2022-09-20,2017-09-20,6,Blue,Toyota,KA 02 BQ 1**7,SUV,8.76,Expired,0,Expired,Old,,,,,,,,,,
2020-07-27,DL-06************60,3.2,active,2022-07-09,U5166,V1003,Average,2158,1,1446,,,,,,,,,,,,,,,,,,,U5166,User5166,U******@gmail.com,+91 86******92,.LK ************** h-H,https://example.com/user5166.jpg,driver,2020-07-27,2022-07-09,2025-11-29,Petrol,true,2023-11-29,2018-11-29,6,Black,Suzuki,KA 51 HO 2**9,Hatchbacks,7.57,Expired,0,Expired,Old,,,,,,,,,,
2020-01-28,DL-06************60,4.8,active,2021-10-26,U10667,V2133,Excellent,2339,1,1702,,,,,,,,,,,,,,,,,,,U10667,User10667,U******@gmail.com,+91 83******95,UK6 ************** 3oD,https://example.com/user10667.jpg,driver,2020-01-28,2021-10-26,2023-04-26,Diesel,true,2021-04-26,2016-04-26,7,Blue,Toyota,KA 01 KG 6**6,SUV,10.16,Expired,0,Expired,Old,,,,,,,,,,
2021-12-26,DL-06************86,3.1,active,2023-12-12,U11680,V2334,Average,1641,1,925,,,,,,,,,,,,,,,,,,,U11680,User11680,U******@gmail.com,+91 73******27,/>E ************** ;22,https://example.com/user11680.jpg,driver,2021-12-26,2023-12-12,2022-10-26,Diesel,true,2020-10-26,2015-10-26,5,Blue,Hyundai,KA 52 PE 7**3,Sedan,10.66,Expired,0,Expired,Old,,,,,,,,,,
2020-10-03,DL-07************32,1.4,active,2023-06-05,U9015,V1802,Poor,2090,1,1115,,,,,,,,,,,,,,,,,,,U9015,User9015,U******@gmail.com,+91 70******11,](T ************** u)O,https://example.com/user9015.jpg,driver,2020-10-03,2023-06-05,2024-05-10,Petrol,false,2022-05-10,2017-05-10,6,Red,Tata,KA 51 TK 8**6,SUV,9.12,Expired,0,Expired,Old,,,,,,,,,,
2024-06-22,DL-07************48,1.8,active,2024-07-17,U1634,V0311,Poor,732,1,707,,,,,,,,,,,,,,,,,,,U1634,User1634,U******@gmail.com,+91 94******88,!tY ************** BlT,https://example.com/user1634.jpg,driver,2024-06-22,2024-07-17,2024-02-21,Petrol,false,2022-02-21,2017-02-21,7,White,Toyota,KA 02 XG 9**4,Sedan,9.34,Expired,0,Expired,Old,,,,,,,,,,
2021-03-04,DL-07************58,3.4,active,2023-02-15,U1164,V0215,Average,1938,1,1225,,,,,,,,,,,,,,,,,,,U1164,User1164,U******@gmail.com,+91 77******70,[aD ************** L!-,https://example.com/user1164.jpg,driver,2021-03-04,2023-02-15,2023-11-29,Diesel,true,2021-11-29,2016-11-29,6,Red,Toyota,KA 52 IG 9**1,SUV,9.57,Expired,0,Expired,Old,,,,,,,,,,
2024-01-05,DL-07************62,2.0,active,2024-10-07,U14243,V2833,Poor,901,1,625,,,,,,,,,,,,,,,,,,,U14243,User14243,U******@gmail.com,+91 84******91,HLQ ************** |@I,https://example.com/user14243.jpg,driver,2024-01-05,2024-10-07,2022-10-23,Diesel,false,2020-10-23,2015-10-23,7,Blue,Toyota,KA 04 XZ 7**3,Hatchbacks,10.67,Expired,0,Expired,Old,,,,,,,,,,
2024-10-07,DL-07************66,2.6,active,2024-10-24,U2686,V0498,Average,625,1,608,,,,,,,,,,,,,,,,,,,U2686,User2686,U******@gmail.com,+91 75******70,.nR ************** W`H,https://example.com/user2686.jpg,driver,2024-10-07,2024-10-24,2022-08-07,Diesel,true,2020-08-07,2015-08-07,4,White,Tata,KA 01 TD 4**2,Sedan,10.88,Expired,0,Expired,Old,,,,,,,,,,
2023-11-19,DL-07************67,1.5,inactive,2024-07-16,U2506,V0466,Poor,948,0,708,,,,,,,,,,,,,,,,,,,U2506,User2506,U******@gmail.com,+91 73******88,/tP ************** )?/,https://example.com/user2506.jpg,driver,2023-11-19,2024-07-16,2024-06-26,Petrol,false,2022-06-26,2017-06-26,5,White,Hyundai,KA 04 UA 4**4,SUV,8.99,Expired,0,Expired,Old,,,,,,,,,,
2023-04-15,DL-07************67,4.5,active,2024-06-08,U11381,V2273,Excellent,1166,1,746,,,,,,,,,,,,,,,,,,,U11381,User11381,U******@gmail.com,+91 72******89,@CG ************** PN^,https://example.com/user11381.jpg,driver,2023-04-15,2024-06-08,2022-02-01,Diesel,true,2020-02-01,2015-02-01,5,Red,Hyundai,KA 41 CA 5**2,SUV,11.4,Expired,0,Expired,Old,,,,,,,,,,
2021-03-31,DL-08************15,4.8,active,2023-06-27,U13525,V2706,Excellent,1911,1,1093,,,,,,,,,,,,,,,,,,,U13525,User13525,U******@gmail.com,+91 80******96,[{K ************** 3(e,https://example.com/user13525.jpg,driver,2021-03-31,2023-06-27,2025-06-06,Diesel,true,2023-06-06,2018-06-06,4,Red,Suzuki,KA 52 JA 7**2,Sedan,8.05,Expired,0,Expired,Old,,,,,,,,,,
2021-05-17,DL-08************18,3.4,active,2024-08-07,U7510,V1487,Average,1864,1,686,,,,,,,,,,,,,,,,,,,U7510,User7510,U******@gmail.com,+91 85******53,'mk ************** Q:0,https://example.com/user7510.jpg,driver,2021-05-17,2024-08-07,2028-01-29,Petrol,true,2026-01-29,2021-01-29,5,Black,Suzuki,KA 51 FR 1**3,SUV,5.4,Expired,0,Valid,Mid-Age,,,,,,,,,,
2023-09-23,DL-08************41,3.7,active,2023-11-07,U10438,V2089,Good,1005,1,960,,,,,,,,,,,,,,,,,,,U10438,User10438,U******@gmail.com,+91 91******01,3[) ************** ~K@,https://example.com/user10438.jpg,driver,2023-09-23,2023-11-07,2026-07-14,Petrol,false,2024-07-14,2019-07-14,7,Blue,Tata,KA 01 VC 8**2,SUV,6.94,Expired,0,Valid,Mid-Age,,,,,,,,,,
2021-01-23,DL-08************59,2.5,active,2021-06-04,U0963,V0178,Average,1978,1,1846,,,,,,,,,,,,,,,,,,,U0963,User963,U******@gmail.com,+91 92******05,.IA ************** H/O,https://example.com/user963.jpg,driver,2021-01-23,2021-06-04,2027-04-10,Diesel,false,2025-04-10,2020-04-10,7,Red,Hyundai,KA 03 XZ 4**2,Sedan,6.2,Expired,0,Valid,Mid-Age,,,,,,,,,,
